m_grid=400 n_grid=800 threshold=0.9 endtime=5s
time/s nx ny dist_hor dist_ver alpha_water Ux(m/s) Uz(m/s) acceleration(m^2/s) convergence
1.2108 166 208 0 0 0.996604911017 -0.0196833284533 -4.78100382203 -1.17155026418 2.45036732975e-05
1.2109 166 201 0 0 0.997547882051 -0.0200526088166 -4.78137141026 3.6758822251 7.68851555434e-05
1.211 166 195 0 -400 0.996667067568 -0.0201303532088 -4.78094418919 -4.27221067219 8.93511569301e-05
1.2111 166 589 0 0 0.997027236686 -0.0200968244122 -4.78071044801 -2.33741175663 4.88901703122e-05
1.2112 166 582 0 0 0.997699636829 -0.0201371542428 -4.78115341858 4.42970571297 9.26578959579e-05
1.2113 166 576 0 0 0.996967528318 -0.0201309398742 -4.78071436179 -4.39056792769 9.18307266741e-05
1.2114 166 569 0 0 0.997163667515 -0.0197743067541 -4.78046800679 -2.46355006643 5.15310031096e-05
1.2115 166 563 0 0 0.997345405957 -0.0198145496142 -4.78101835745 5.50350661405 0.000115124849831
1.2116 166 557 0 0 0.996521906171 -0.0199724023067 -4.78038120879 -6.37148655607 0.00013326630604
1.2117 166 550 0 0 0.99708808489 -0.0197275855492 -4.78042511036 0.439015653253 9.18369548532e-06
1.2118 166 544 0 0 0.996396525424 -0.0200226420592 -4.78059555932 1.70448965493 3.56556083524e-05
1.2119 165 538 0 0 0.99644279322 -0.0198631652753 -4.78037629661 -2.1926271185 4.58651456977e-05
1.212 165 531 0 0 0.996995938723 -0.020045312846 -4.78042865532 0.523587089738 1.09528425641e-05
1.2121 165 525 0 0 0.996080047458 -0.0204670361838 -4.78058766949 1.59014172375 3.32635802855e-05
1.2122 165 519 0 0 0.996573369362 -0.0203469930224 -4.78070346383 1.15794338264 2.42217790509e-05
1.2123 165 512 0 0 0.99650417218 -0.0205908676036 -4.78050807464 -1.95389190272 4.08703848189e-05
1.2124 165 506 0 0 0.996613939881 -0.0210170946671 -4.78090609653 3.98021888841 8.32593278008e-05
1.2125 165 499 0 0 0.997370563297 -0.0206388781281 -4.78073923534 -1.66861184261 3.49015816023e-05
1.2126 165 493 0 0 0.996875360947 -0.0206234986699 -4.78056893491 -1.70300432853 3.56221965828e-05
1.2127 165 487 0 0 0.997216677119 -0.0204766760211 -4.78084491525 2.7598034299 5.77296022184e-05
1.2128 165 480 0 0 0.997398661877 -0.0203215459363 -4.78054515638 -2.99758872156 6.26999782402e-05
1.2129 165 474 0 0 0.997059529958 -0.0203530725252 -4.7808883038 3.43147415383 7.17799757471e-05
1.213 165 468 0 0 0.997589926146 -0.0202863901205 -4.78074705433 -1.41249468092 2.95446074278e-05
1.2131 165 461 0 0 0.997274119492 -0.0205868675261 -4.78057747458 -1.69579753097 3.54713920585e-05
1.2132 165 455 0 0 0.997185815411 -0.0206852001494 -4.78099741744 4.1994286657 8.78435437566e-05
1.2133 165 449 0 0 0.997279384027 -0.0208543985742 -4.78094661003 -0.508074173542 1.06269493409e-05
1.2134 165 442 0 0 0.997122895586 -0.0205320339929 -4.78096393039 0.173203650071 3.62278988241e-06
1.2135 165 436 0 0 0.997177481702 -0.0208044915995 -4.78093205106 -0.318793266718 6.66797054652e-06
1.2136 165 429 0 0 0.997485170794 -0.0209159921289 -4.78099534586 0.63294794411 1.3239007318e-05
1.2137 165 423 0 0 0.99664453056 -0.0206382325083 -4.78080554329 -1.89802564527 3.96993828264e-05
1.2138 165 417 0 0 0.997207182051 -0.0206808575873 -4.7809624359 1.56892603729 3.28171899711e-05
1.2139 165 410 0 0 0.997139003428 -0.0204062408057 -4.78130511568 3.42679783802 7.16758996533e-05
1.214 165 404 0 0 0.996634508891 -0.0201180126273 -4.78086960203 -4.35513649059 9.1086772026e-05
1.2141 165 398 0 0 0.997301786019 -0.020313487176 -4.78122309463 3.53492596967 7.39389747876e-05
1.2142 165 391 0 0 0.997132691453 -0.0202089809787 -4.78125646154 0.333669093093 6.97873925749e-06
1.2143 165 385 0 0 0.997064645656 -0.0199268025092 -4.78130948041 0.53018870398 1.10888990843e-05
1.2144 165 378 0 0 0.997297894468 -0.0201659101192 -4.78127250213 -0.369782811989 7.73392338446e-06
1.2145 165 372 0 0 0.996821189349 -0.0202597374175 -4.78091473373 -3.57768399848 7.48270255855e-05
1.2146 165 366 0 0 0.997160813401 -0.0201435854289 -4.78094156913 0.268353985726 5.61302597248e-06
1.2147 165 359 0 0 0.997135564037 -0.0200713513542 -4.78075363868 -1.87930449535 3.93082506484e-05
1.2148 165 353 0 0 0.996672931472 -0.0200134660753 -4.7808162775 0.626388189167 1.31022896495e-05
1.2149 165 347 0 0 0.997057698386 -0.0200393517898 -4.7806513339 -1.64943596022 3.45011367197e-05
1.215 165 340 0 0 0.996597579036 -0.0199658648263 -4.78041768385 -2.33650045126 4.88741028799e-05
1.2151 165 334 0 0 0.996424343803 -0.0196779295319 -4.78081217317 3.94489320256 8.25219356017e-05
1.2152 165 328 0 0 0.996633427119 -0.0202180150025 -4.78038283898 -4.29334191821 8.98036099871e-05
1.2153 165 321 0 0 0.996495095238 -0.0201464584982 -4.78057171769 1.88878704018 3.95112087001e-05
1.2154 165 315 0 0 0.996077224958 -0.0203386580719 -4.78065724958 0.855318884883 1.78915605788e-05
1.2155 165 308 0 0 0.996164301871 -0.0207653169529 -4.78064380952 -0.134400517524 2.81133974907e-06
1.2156 165 302 0 0 0.996359599831 -0.0204767230846 -4.7805829357 -0.608738215986 1.27333940833e-05
1.2157 164 296 0 0 0.996903601019 -0.0209069351648 -4.78062720713 0.442714285205 9.26067576191e-06
1.2158 164 289 0 0 0.997107270568 -0.0208614326539 -4.78070287532 0.756681873408 1.5828087835e-05
1.2159 164 283 0 0 0.996814864522 -0.0203581061019 -4.78066681626 -0.36059060653 7.54262743228e-06
1.216 164 277 0 0 0.997478931298 -0.0204308370869 -4.7808154877 1.48671444028 3.10984742802e-05
1.2161 164 270 0 0 0.997303831356 -0.0202111417941 -4.78060805932 -2.07428379399 4.33876563387e-05
1.2162 164 264 0 0 0.996763205063 -0.0201920460035 -4.78057221097 -0.358483515761 7.49870123869e-06
1.2163 164 257 0 0 0.997310453853 -0.0203837277678 -4.78056905165 -0.0315931933148 6.60866354917e-07
1.2164 164 251 0 0 0.997059425064 -0.0204829563915 -4.78029491109 -2.74140558848 5.73447545441e-05
1.2165 164 245 0 0 0.997039727119 -0.0204452349313 -4.78052977966 2.34868568731 4.91326525034e-05
1.2166 164 238 0 0 0.997445299574 -0.0205667510916 -4.78058708936 0.573097006882 1.19881484542e-05
1.2167 164 232 0 0 0.996652841927 -0.0206873466378 -4.78028253593 -3.04553436088 6.37062834324e-05
1.2168 164 226 0 0 0.996844405085 -0.0208702111716 -4.7799989661 -2.83569823925 5.93207246211e-05
1.2169 164 219 0 0 0.997441674637 -0.0211198679701 -4.78066527754 6.66311438873 0.00013939572866
1.217 164 213 0 0 0.996504570093 -0.0207477809423 -4.78028989805 -3.75379494694 7.85203466258e-05
1.2171 164 207 0 0 0.996651795396 -0.0205264772026 -4.78041121057 1.21312525311 2.53776502886e-05
1.2172 164 200 0 -400 0.997004470437 -0.0206964604416 -4.78086571551 4.54504938669 9.50765360235e-05
1.2173 164 594 0 0 0.996484811433 -0.0203065227717 -4.78040193686 -4.63778649786 9.70072529504e-05
1.2174 164 587 0 0 0.997044813458 -0.020137519299 -4.78082950596 4.2756910246 8.94420820899e-05
1.2175 164 581 0 0 0.996998491064 -0.0203661913429 -4.78081611915 -0.133868135803 2.80010269423e-06
1.2176 164 575 0 0 0.99726493288 -0.0202082533862 -4.78069404418 -1.22074968823 2.55343367703e-05
1.2177 164 568 0 0 0.997326291279 -0.020396507866 -4.7805603387 -1.33705484108 2.79677977448e-05
